bid,lon,lat,categories
tstimHoMcYbkSC4eBA1wEg,-115.0405289,36.1956146,Mexican Restaurants
sKhDrZFCJqfRNylkHrIDsQ,-115.304983,36.191852,Coffee & Tea
dusNIzdCaH6EoLl2hRy6cQ,-115.171769,36.120095,Mexican Restaurants
F06m2yQSPHIrb1IT7heYeQ,-115.2441147342,36.0514499584,Chinese Restaurants
q4i-GbjeSp6ucBDXGE9DqA,-115.195896,36.1440225,Thai Restaurants
H2Chxto2e6dHTDJ8-s3-pQ,-115.1193113918,36.1410796647,Mexican Restaurants
SGPjYRy6x7R5ZlGa_nrskg,-115.1722323,36.067199,American Restaurants
yKpdzrqe_qIbu9dB6bj9Gg,-115.1521726325,36.0835550898,American Restaurants
SAfuIUZMXrOnb3LWyvYjDA,-115.1158845155,36.029295364,Korean Restaurants
W3ia8dkoGGRYEfFg_BiyPg,-115.1207419292,36.0574675327,Breakfast & Brunch
V78f9CdEVTkKFkyhdTYVrQ,-115.24493,36.21935,Breakfast & Brunch
Q-dVQgyof9paXKJLwFsn3Q,-115.2245316,36.2384709,Coffee & Tea
BIbjBxoiJLS8CnNsSP64TQ,-115.1512026606,36.0828536999,Mexican Restaurants
GMrwDXRlAZU2zj5nH6l4vQ,-115.138668,36.1001831,American Restaurants
K4z0ODOZNuN2uRnL4IwApw,-115.14492,36.170871,Coffee & Tea
qVO3l9Q0-KVQE7W9JL9ePw,-115.241457,36.127061,Korean Restaurants
iX2c4IzH_L5F6FM5GD3SUQ,-115.2981502597,36.101689985,Ice Cream & Frozen Yogurt
ujHiaprwCQ5ewziu0Vi9rw,-115.17689,36.11322,American Restaurants
DVfCbJhJUDWRlUfrKzaKOA,-115.1959803,36.1253808,Chinese Restaurants
denOutmcto4xiKG6yXfA6g,-115.2993090044,36.0983467817,Coffee & Tea
XDYCIRENiT2doRZgwNJ3SA,-115.2426152422,36.1125455098,Mexican Restaurants
5yZ1XmDcOEsElDeb9PlPDQ,-115.1976305,36.1259293,Japanese Restaurants
_j2EtQtgLuXGRBfbM5YwZA,-115.170163,36.122689,Chinese Restaurants
tMYYSWyTppDcF070Hmy-kQ,-115.3327068215,36.1517914562,American Restaurants
lVULxfPrpjnlOzF_jilRAA,-115.1699433706,36.1221998492,Mexican Restaurants
S5FTckOpSK0_Ma4c18ZEgg,-115.093628,36.1299291,Chinese Restaurants
bcJmbFHVAkLFqhJbUTdbyQ,-115.198185,36.125897,Coffee & Tea
0gTTGuA6uEmMhLhfJi0hqA,-115.2996399,36.1158229,American Restaurants
6s7uduX1Q1KSjOKvwxYkRA,-115.2024506405,36.1022995155,Japanese Restaurants
Vs7gc9EE3k9wARuUcN9piA,-115.2784336,36.1349835,Japanese Restaurants
hl6s4hGsJDcRhHIWrSM-UA,-115.151261,36.108898,Coffee & Tea
FhIeCF6QrsLaRvAeu0oEPQ,-115.2457870358,36.2747255482,American Restaurants
Ia1JlEo7UUyZtmqRe1K1Pw,-115.3331133,36.1486981,Coffee & Tea
jJ2ca6wqp_YwTsdAWzplkQ,-115.2441173,36.045795,Japanese Restaurants
